ActiveWindow,date,time
WpfApp1,20181014,150101
WpfApp1,20181014,150103
WpfApp1,20181014,150104
EXCEL,20181014,150105
EXCEL,20181014,150106
WpfApp1,20181014,150107
WpfApp1,20181014,150108
WpfApp1,20181014,150109
explorer,20181014,150110
explorer,20181014,150111
explorer,20181014,150112
explorer,20181014,150113
explorer,20181014,150114
explorer,20181014,150115
explorer,20181014,150116
explorer,20181014,150117
explorer,20181014,150118
explorer,20181014,150119
explorer,20181014,150120
devenv,20181014,150121
devenv,20181014,150122
devenv,20181014,150123
EXCEL,20181014,150126
EXCEL,20181014,150127
EXCEL,20181014,150128
EXCEL,20181014,150129
EXCEL,20181014,150130
EXCEL,20181014,150131
EXCEL,20181014,150132
EXCEL,20181014,150133
EXCEL,20181014,150134
EXCEL,20181014,150135
EXCEL,20181014,150136
EXCEL,20181014,150137
EXCEL,20181014,150138
EXCEL,20181014,150139
IDLE,20181014,150140
IDLE,20181014,150141
IDLE,20181014,150142
IDLE,20181014,150143
IDLE,20181014,150144
IDLE,20181014,150145
IDLE,20181014,150146
EXCEL,20181014,150147
EXCEL,20181014,150148
EXCEL,20181014,150149
devenv,20181014,150150
explorer,20181014,150151
explorer,20181014,150152
EXCEL,20181014,150153
EXCEL,20181014,150154
EXCEL,20181014,150155
EXCEL,20181014,150156
EXCEL,20181014,150157
EXCEL,20181014,150158
EXCEL,20181014,150159
EXCEL,20181014,150200
EXCEL,20181014,150201
EXCEL,20181014,150202
EXCEL,20181014,150203
EXCEL,20181014,150204
EXCEL,20181014,150205
EXCEL,20181014,150206
EXCEL,20181014,150207
EXCEL,20181014,150208
EXCEL,20181014,150209
EXCEL,20181014,150210
EXCEL,20181014,150211
EXCEL,20181014,150212
EXCEL,20181014,150213
EXCEL,20181014,150214
EXCEL,20181014,150215
EXCEL,20181014,150216
EXCEL,20181014,150217
EXCEL,20181014,150218
EXCEL,20181014,150219
EXCEL,20181014,150220
EXCEL,20181014,150221
EXCEL,20181014,150222
EXCEL,20181014,150223
EXCEL,20181014,150224
EXCEL,20181014,150225
EXCEL,20181014,150226
EXCEL,20181014,150227
EXCEL,20181014,150228
EXCEL,20181014,150229
EXCEL,20181014,150230
EXCEL,20181014,150231
EXCEL,20181014,150232
EXCEL,20181014,150233
EXCEL,20181014,150234
EXCEL,20181014,150235
EXCEL,20181014,150236
EXCEL,20181014,150237
EXCEL,20181014,150238
EXCEL,20181014,150239
EXCEL,20181014,150240
EXCEL,20181014,150241
EXCEL,20181014,150242
EXCEL,20181014,150243
EXCEL,20181014,150244
EXCEL,20181014,150245
EXCEL,20181014,150246
EXCEL,20181014,150247
EXCEL,20181014,150248
EXCEL,20181014,150249
EXCEL,20181014,150250
EXCEL,20181014,150251
EXCEL,20181014,150252
EXCEL,20181014,150253
EXCEL,20181014,150254
EXCEL,20181014,150255
EXCEL,20181014,150256
EXCEL,20181014,150257
EXCEL,20181014,150258
EXCEL,20181014,150259
EXCEL,20181014,150300
EXCEL,20181014,150301
EXCEL,20181014,150302
WpfApp1,20181014,150303
WpfApp1,20181014,150304
WpfApp1,20181014,150305
WpfApp1,20181014,150306
EXCEL,20181014,150307
EXCEL,20181014,150308
devenv,20181014,150309
